Energy(eV),OscStrength
2.458336359093917345e+00,3.872291155393475539e-08
2.458482512088683070e+00,2.688101002364705686e-04
2.462934301065969667e+00,1.434163819677152134e-06
2.462976158120040449e+00,9.934942652552257945e-07
2.478271660653578845e+00,4.558949715698983329e-01
2.482419810407105132e+00,1.383787840260323347e-05
2.485076680265389637e+00,1.569300137089432723e-01
2.485739871868542838e+00,3.970340270930277499e-03
2.486146990177672933e+00,3.230298827302521564e-03
2.486689500066039393e+00,2.286964676228357418e-01
2.487079769023090581e+00,2.521057230733600787e-03
2.488693738149368784e+00,3.420752933260675331e-03
2.488934121905495012e+00,8.361835948772712579e-02
2.513748696839899655e+00,4.605893117915033433e-03
2.513955398093441485e+00,6.178255104787537706e-03
2.515039158742961245e+00,7.697755020252958734e-03
2.516510595379382487e+00,5.479377104921903316e-04
2.518292390735432651e+00,4.536419704366581422e-03
2.518539700305701956e+00,4.029249705849501616e-03
2.518974138540567509e+00,3.210428618240207706e-03
2.520084235467019429e+00,4.235109570984502332e-04
2.521219154925448347e+00,1.517227765586062239e-02
2.521445116746196202e+00,2.693829268123462684e-03
2.522188369718210144e+00,1.218089147683581834e-02
2.523193709139222030e+00,5.067471355214154399e-02
2.538986282433589370e+00,6.370361534894203419e-09
2.566768155944894492e+00,4.096189404222302900e-05
2.566969817222622741e+00,1.366278628058391765e-04
2.580293780784161495e+00,1.520925943524975193e-07
2.580608501282401157e+00,3.821591450472433661e-07
2.591317993704122635e+00,9.406292286465295360e-02
2.593024827932299381e+00,1.388687560673429189e-01
2.603930233016368501e+00,2.139695090198646781e-03
2.604115371060314654e+00,3.300333428203666014e-03
2.606609427331564532e+00,5.417216849563453313e-03
2.620882098096251056e+00,4.283225766875118409e-04
2.629745304417936413e+00,2.082151381758824921e-06
2.629897122025047995e+00,1.887340694591347516e-06
2.633465372235895607e+00,7.869549229612729209e-04
2.642729019857676942e+00,8.953255005427566129e-11
2.646580668176990780e+00,8.066069228998420937e-02
2.661718633143544288e+00,1.548193700735034373e-01
2.690645270914453047e+00,3.491225121307834211e-07
2.700854755858062006e+00,1.084734679212234320e-04
2.701432614495290707e+00,8.962071778790387487e-04
2.713453623739293441e+00,1.378243348781538126e-04
2.714426332394046959e+00,1.042065560942726518e-03
2.761058833885515984e+00,1.479759596685843399e-06
2.761100653125072579e+00,4.132457737592354847e-07
2.761378872573172938e+00,1.287810825575918629e-07
2.761420700637092995e+00,1.627930772680354162e-06
2.767320279923782156e+00,4.055873031097011194e-02
2.799221332302850751e+00,2.364023362297210555e-07
2.805122787783963734e+00,7.706023828489754485e-06
2.817911683485478491e+00,7.417207320664669489e-08
2.818769554505024644e+00,2.315804293756454612e-07
2.818811194861695846e+00,7.622453664696874834e-08
2.819061018420883968e+00,1.231191371055035912e-07
2.819103078957525987e+00,2.952198210509232023e-07
2.828343015675057970e+00,6.609186032395533922e-04
2.828480204816131494e+00,5.108519673455478400e-04
2.837112469883841026e+00,5.907197760832873001e-08
2.837432513750275387e+00,3.497071275400454631e-08
2.894822832085492070e+00,4.115319073687220203e-08
2.895114508684363042e+00,1.814415414279713842e-08
2.902281178872858192e+00,3.107574374110413403e-06
2.902329230417745709e+00,2.678533293814124683e-06
2.915521109746275652e+00,2.350558296007164427e-01
2.933504648681355853e+00,2.140669642919021737e-06
2.940853401244586607e+00,8.655928408376406118e-07
2.941173444454639796e+00,1.159179318479660566e-06
2.946260406041239843e+00,3.508904525477367636e-06
2.951239791233840837e+00,4.332552421864064307e-01
2.994840101981979696e+00,3.102007628472260142e-08
2.994881949713365188e+00,6.178036728263571302e-08
2.998183027655565880e+00,1.417281254531270185e-05
2.998222929293854477e+00,2.859115708594311089e-08
2.998224993897770752e+00,6.318057253473725739e-08
2.998264631908040823e+00,1.830929431236453915e-05
2.998563788954841325e+00,4.434292015975450669e-05
2.998855379043023461e+00,6.771896434362122401e-05
3.000857573933393141e+00,3.913517159127990475e-01
3.070893772036746405e+00,4.963239198090985918e-09
3.074236632046801532e+00,1.171699191953250899e-07
3.074276412136619285e+00,9.228283692675422635e-08
