Energy(eV),OscStrength
1.248374644181177162e+00,6.980308959398509919e-05
1.250439449269282521e+00,3.951865534201391174e-03
1.255525958017428723e+00,4.761632900476348018e-03
1.259277393194343730e+00,4.552497005317433296e-07
1.261764562866912076e+00,2.106943945982482636e-02
1.266905005093936110e+00,3.530752563790807698e-05
1.267112501677889025e+00,1.489578335111984164e-05
1.269583768876077601e+00,8.422670455740139685e-05
1.269954587875322227e+00,5.042300244625849546e-05
1.270738006500919282e+00,2.672338389124931293e-03
1.271632343245364227e+00,3.824931145529438843e-05
1.275203888343532155e+00,2.507467523014881781e-08
1.283503770355647111e+00,6.498227074763722640e-03
1.285504574056342442e+00,4.237273403939390459e-04
1.294195475644573934e+00,4.905619001167513520e-04
1.299029205510389806e+00,5.842047778766536127e-05
1.299943566593133815e+00,2.313263599320928253e-03
1.302775605382348489e+00,3.045022636974434988e-04
1.302815577790064072e+00,4.965428770408195601e-03
1.303244286233666394e+00,2.491152417094104105e-04
1.305354226711089805e+00,8.297464118014615496e-04
1.311215594762045855e+00,7.766869318612062111e-04
1.315137128064322924e+00,1.682767208518473522e-08
1.318943868642117989e+00,2.409910972512594843e-08
1.322244032552808202e+00,1.183090620089376601e-06
1.332462559866500751e+00,6.525787476614247108e-03
1.333346145147819684e+00,3.489419720687341191e-04
1.335044299534912549e+00,4.842917763165488347e-04
1.336631750197424084e+00,4.974267721224380799e-06
1.343730814758443692e+00,6.302752671895952945e-03
1.345127046670049120e+00,2.161157008499064845e-05
1.349514868652051502e+00,9.645512468284922307e-04
1.350486441926220360e+00,8.175157883096241702e-04
1.355744154643481192e+00,2.358824800611692827e-06
1.356870263572539592e+00,1.802668226133782652e-04
1.363017245437699643e+00,6.663809992648191648e-03
1.373522998012154606e+00,3.867132513784835111e-03
1.379650574680342245e+00,1.862153809119352049e-05
1.382039883473119346e+00,1.643504571705982931e-09
1.392990365342320791e+00,6.945627455985039014e-03
1.398685198051608847e+00,1.546211772340178909e-08
1.400133340689707850e+00,5.535330180634951856e-04
1.429728048257528306e+00,2.425868651072680005e-03
1.433947173457953195e+00,1.270657393527786089e-02
1.437414074160898947e+00,1.410920679996002444e-02
1.438364329952668053e+00,1.570731042502062540e-03
1.449101250602167879e+00,4.103866354243648019e-05
1.450969498333942287e+00,1.592318645738215188e-04
1.452070131712215106e+00,3.060116852455340569e-04
1.460660810464224024e+00,1.226091740468574290e-02
1.461746349299210879e+00,2.632607910467603376e-06
1.462358463440939449e+00,9.128255530967972764e-03
1.469412404670362271e+00,1.705437063952229877e-06
1.473145910158718985e+00,9.624443368806532726e-05
1.477799066818511031e+00,2.706408230074857507e-02
1.479272240257951454e+00,2.791390831563296884e-03
1.482806165154483491e+00,7.911588530304483239e-06
1.483104682760807647e+00,2.054090290623265585e-04
1.492456673296203240e+00,1.203184304098703784e-04
1.494301661851290763e+00,8.357908313617855853e-05
1.495027287262540971e+00,2.123072790975937625e-05
1.495362902194272481e+00,8.029980072185847236e-05
1.500875153926161554e+00,3.667674906868071631e-03
1.504207732044773316e+00,2.720606349885962196e-03
1.507264423249623730e+00,2.809775346724081784e-06
1.508738235164255537e+00,9.705328488214616566e-04
1.508949875647120020e+00,1.208986156721841019e-03
1.510432080037503288e+00,7.012363113777861509e-05
1.519069890767012376e+00,1.900343224610781610e-04
1.525704408139958446e+00,5.535276140461952397e-04
1.527078056772396941e+00,4.240779382119362270e-06
1.527084003213295960e+00,4.453629364675438872e-05
1.528602565184306261e+00,3.095860263776056663e-05
1.536500065589300856e+00,2.583990576209249353e-04
1.538627649949775300e+00,8.540426735195102710e-05
1.541146208787180116e+00,5.774443081935049871e-05
1.543948121199612000e+00,2.552998160391367113e-08
1.544450088255553633e+00,1.852812131354591822e-03
1.545190692948783306e+00,1.788973105274832814e-03
1.550094781598729377e+00,6.667928693699940530e-05
1.554246653285196844e+00,2.435906588400733083e-04
1.558546426897233994e+00,3.977726740782358149e-05
1.559596265107654034e+00,1.967395267033589072e-04
1.559679335961229762e+00,1.591229020145314888e-07
1.560593249477652211e+00,5.939758029793284870e-06
1.566789128288634592e+00,8.093836709239218830e-02
1.571666526749728288e+00,3.114011358939296984e-03
1.573318249256182355e+00,8.359729430488774173e-04
1.579062321995647888e+00,4.889817128996854069e-07
1.580930754559867868e+00,2.444390095599216362e-05
1.588696511977915060e+00,9.703715210333635117e-06
1.591729732965103672e+00,9.061811407306115358e-07
1.599421057546261293e+00,4.552563292963059283e-08
1.601147344152091145e+00,1.067869921591594641e-03
